Funder from,Funder to,grants
A B Charitable Trust,The Big Lottery Fund,16
A B Charitable Trust,Lloyds Bank Foundation for England and Wales,12
A B Charitable Trust,Garfield Weston Foundation,10
A B Charitable Trust,Trust for London,6
A B Charitable Trust,The Tudor Trust,4
A B Charitable Trust,City Bridge Trust,3
A B Charitable Trust,Joseph Rowntree Charitable Trust,3
A B Charitable Trust,The Clothworkers Foundation,3
A B Charitable Trust,Co-operative Group,2
A B Charitable Trust,Community Foundation serving Tyne & Wear and Northumberland,2
A B Charitable Trust,The Robertson Trust,2
A B Charitable Trust,Essex Community Foundation,1
A B Charitable Trust,Masonic Charitable Foundation,1
A B Charitable Trust,Barrow Cadbury Trust,1
A B Charitable Trust,Oxford City Council,1
A B Charitable Trust,Scottish Council For Voluntary Organisations,1
A B Charitable Trust,Three Guineas Trust,1
A B Charitable Trust,Tuixen Foundation,1
A B Charitable Trust,Corra Foundation,1
A B Charitable Trust,Indigo Trust,1
A B Charitable Trust,United St Saviour's Charity,1
A B Charitable Trust,Woodward Charitable Trust,1
A B Charitable Trust,Esmée Fairbairn Foundation,1
A B Charitable Trust,The Henry Smith Charity,1
ARCADIA,Garfield Weston Foundation,1
ARCADIA,Greater London Authority,1
Barrow Cadbury Trust,Esmée Fairbairn Foundation,3
Barrow Cadbury Trust,The Big Lottery Fund,3
Barrow Cadbury Trust,Trust for London,3
Barrow Cadbury Trust,Lankelly Chase Foundation,2
Barrow Cadbury Trust,The Tudor Trust,2
Barrow Cadbury Trust,Lloyds Bank Foundation for England and Wales,1
Barrow Cadbury Trust,Comic Relief,1
Barrow Cadbury Trust,Tedworth Charitable Trust,1
Barrow Cadbury Trust,A B Charitable Trust,1
Barrow Cadbury Trust,Nesta,1
Barrow Cadbury Trust,Joseph Rowntree Charitable Trust,1
Barrow Cadbury Trust,Samworth Foundation,1
Barrow Cadbury Trust,London Councils,1
Birmingham City Council,Heart Of England Community Foundation,4
Birmingham City Council,The Big Lottery Fund,2
Birmingham City Council,Garfield Weston Foundation,1
Birmingham City Council,Co-operative Group,1
Birmingham City Council,Sport England,1
Birmingham City Council,Somerset Community Foundation,1
Cheshire Community Foundation,Co-operative Group,19
Cheshire Community Foundation,The Big Lottery Fund,14
Cheshire Community Foundation,Garfield Weston Foundation,11
Cheshire Community Foundation,Lloyds Bank Foundation for England and Wales,3
Cheshire Community Foundation,Quartet Community Foundation,2
Cheshire Community Foundation,The Blagrave Trust,1
Cheshire Community Foundation,The Dulverton Trust,1
Cheshire Community Foundation,The Clothworkers Foundation,1
Cheshire Community Foundation,Greater London Authority,1
Cheshire Community Foundation,The Tudor Trust,1
City Bridge Trust,The Big Lottery Fund,36
City Bridge Trust,Garfield Weston Foundation,17
City Bridge Trust,Co-operative Group,13
City Bridge Trust,The Tudor Trust,11
City Bridge Trust,Lloyds Bank Foundation for England and Wales,7
City Bridge Trust,Trust for London,7
City Bridge Trust,Esmée Fairbairn Foundation,5
City Bridge Trust,The Clothworkers Foundation,4
City Bridge Trust,A B Charitable Trust,3
City Bridge Trust,Quartet Community Foundation,3
City Bridge Trust,The Henry Smith Charity,3
City Bridge Trust,United St Saviour's Charity,2
City Bridge Trust,Joseph Rowntree Charitable Trust,2
City Bridge Trust,The Dunhill Medical Trust,2
City Bridge Trust,London Borough of Barnet,2
City Bridge Trust,Greater London Authority,2
City Bridge Trust,Pears Foundation,1
City Bridge Trust,London Councils,1
City Bridge Trust,The David & Elaine Potter Foundation,1
City Bridge Trust,Comic Relief,1
City Bridge Trust,Woodward Charitable Trust,1
City Bridge Trust,Somerset Community Foundation,1
City Bridge Trust,Tuixen Foundation,1
City Bridge Trust,Seafarers UK,1
City Bridge Trust,Indigo Trust,1
City Bridge Trust,National Churches Trust,1
Co-operative Group,The Big Lottery Fund,500
Co-operative Group,Garfield Weston Foundation,204
Co-operative Group,The Robertson Trust,59
Co-operative Group,Quartet Community Foundation,53
Co-operative Group,Lloyds Bank Foundation for England and Wales,51
Co-operative Group,The Tudor Trust,41
Co-operative Group,Corra Foundation,39
Co-operative Group,The Clothworkers Foundation,32
Co-operative Group,Community Foundation serving Tyne & Wear and Northumberland,28
Co-operative Group,Woodward Charitable Trust,27
Co-operative Group,Cheshire Community Foundation,19
Co-operative Group,Sport England,19
Co-operative Group,Sussex Community Foundation,18
Co-operative Group,Somerset Community Foundation,17
Co-operative Group,Heart Of England Community Foundation,16
Co-operative Group,Devon Community Foundation,14
Co-operative Group,Essex Community Foundation,13
Co-operative Group,Two Ridings Community Foundation,13
Co-operative Group,City Bridge Trust,13
Co-operative Group,The Henry Smith Charity,12
Co-operative Group,Community Foundation for Surrey,12
Co-operative Group,R S Macdonald Charitable Trust,10
Co-operative Group,Masonic Charitable Foundation,9
Co-operative Group,Scottish Council For Voluntary Organisations,9
Co-operative Group,Esmée Fairbairn Foundation,8
Co-operative Group,The Joseph Rank Trust,6
Co-operative Group,Wiltshire Community Foundation,6
Co-operative Group,John Moores Foundation,6
Co-operative Group,The Dunhill Medical Trust,5
Co-operative Group,Seafarers UK,5
Co-operative Group,Trust for London,4
Co-operative Group,National Churches Trust,4
Co-operative Group,Oxfordshire Community Foundation,4
Co-operative Group,London Borough of Barnet,3
Co-operative Group,The Dulverton Trust,3
Co-operative Group,Three Guineas Trust,3
Co-operative Group,United St Saviour's Charity,3
Co-operative Group,True Colours Trust,3
Co-operative Group,Pears Foundation,2
Co-operative Group,A B Charitable Trust,2
Co-operative Group,Joseph Rowntree Foundation,2
Co-operative Group,Walcot Foundation,2
Co-operative Group,Tedworth Charitable Trust,1
Co-operative Group,Virgin Money Foundation,1
Co-operative Group,Trafford Housing Trust Social Investment,1
Co-operative Group,Tuixen Foundation,1
Co-operative Group,Birmingham City Council,1
Co-operative Group,Lankelly Chase Foundation,1
Co-operative Group,Greater London Authority,1
Co-operative Group,Road Safety Trust,1
Co-operative Group,Comic Relief,1
Co-operative Group,Indigo Trust,1
Co-operative Group,Nesta,1
Co-operative Group,Macc,1
Comic Relief,The Big Lottery Fund,6
Comic Relief,Sport England,4
Comic Relief,The Clothworkers Foundation,2
Comic Relief,Garfield Weston Foundation,2
Comic Relief,Esmée Fairbairn Foundation,2
Comic Relief,The Tudor Trust,2
Comic Relief,City Bridge Trust,1
Comic Relief,Heart Of England Community Foundation,1
Comic Relief,Co-operative Group,1
Comic Relief,Trust for London,1
Comic Relief,London Councils,1
Comic Relief,Barrow Cadbury Trust,1
Community Foundation for Surrey,The Big Lottery Fund,16
Community Foundation for Surrey,Co-operative Group,12
Community Foundation for Surrey,Garfield Weston Foundation,4
Community Foundation for Surrey,The Clothworkers Foundation,2
Community Foundation for Surrey,Sussex Community Foundation,2
Community Foundation for Surrey,Woodward Charitable Trust,2
Community Foundation for Surrey,Lloyds Bank Foundation for England and Wales,1
Community Foundation for Surrey,Heart Of England Community Foundation,1
Community Foundation for Surrey,True Colours Trust,1
Community Foundation for Surrey,John Moores Foundation,1
Community Foundation for Surrey,Essex Community Foundation,1
Community Foundation for Surrey,Two Ridings Community Foundation,1
Community Foundation for Surrey,The Blagrave Trust,1
Community Foundation for Surrey,Devon Community Foundation,1
Community Foundation serving Tyne & Wear and Northumberland,Co-operative Group,28
Community Foundation serving Tyne & Wear and Northumberland,The Big Lottery Fund,21
Community Foundation serving Tyne & Wear and Northumberland,Garfield Weston Foundation,12
Community Foundation serving Tyne & Wear and Northumberland,Virgin Money Foundation,7
Community Foundation serving Tyne & Wear and Northumberland,Woodward Charitable Trust,3
Community Foundation serving Tyne & Wear and Northumberland,The Tudor Trust,3
Community Foundation serving Tyne & Wear and Northumberland,The Henry Smith Charity,3
Community Foundation serving Tyne & Wear and Northumberland,The Clothworkers Foundation,2
Community Foundation serving Tyne & Wear and Northumberland,A B Charitable Trust,2
Community Foundation serving Tyne & Wear and Northumberland,Lloyds Bank Foundation for England and Wales,1
Community Foundation serving Tyne & Wear and Northumberland,Heart Of England Community Foundation,1
Community Foundation serving Tyne & Wear and Northumberland,True Colours Trust,1
Community Foundation serving Tyne & Wear and Northumberland,Esmée Fairbairn Foundation,1
Community Foundation serving Tyne & Wear and Northumberland,Three Guineas Trust,1
Corra Foundation,The Robertson Trust,49
Corra Foundation,Co-operative Group,39
Corra Foundation,The Big Lottery Fund,38
Corra Foundation,Garfield Weston Foundation,14
Corra Foundation,R S Macdonald Charitable Trust,13
Corra Foundation,Scottish Council For Voluntary Organisations,9
Corra Foundation,The Clothworkers Foundation,4
Corra Foundation,Seafarers UK,2
Corra Foundation,Esmée Fairbairn Foundation,2
Corra Foundation,The Tudor Trust,2
Corra Foundation,The Henry Smith Charity,1
Corra Foundation,A B Charitable Trust,1
Corra Foundation,Woodward Charitable Trust,1
Corra Foundation,Glasgow City Council,1
Corra Foundation,The Joseph Rank Trust,1
Culham St Gabriel's Trust,Garfield Weston Foundation,1
Culham St Gabriel's Trust,The Dulverton Trust,1
Culham St Gabriel's Trust,The Big Lottery Fund,1
Culham St Gabriel's Trust,The Tudor Trust,1
Devon Community Foundation,Co-operative Group,14
Devon Community Foundation,The Big Lottery Fund,13
Devon Community Foundation,Garfield Weston Foundation,5
Devon Community Foundation,Lloyds Bank Foundation for England and Wales,1
Devon Community Foundation,The Tudor Trust,1
Devon Community Foundation,Sport England,1
Devon Community Foundation,Quartet Community Foundation,1
Devon Community Foundation,Seafarers UK,1
Devon Community Foundation,Community Foundation for Surrey,1
Devon Community Foundation,The Clothworkers Foundation,1
Devon Community Foundation,Somerset Community Foundation,1
Devon Community Foundation,Woodward Charitable Trust,1
Esmée Fairbairn Foundation,The Big Lottery Fund,34
Esmée Fairbairn Foundation,Garfield Weston Foundation,19
Esmée Fairbairn Foundation,The Tudor Trust,12
Esmée Fairbairn Foundation,Lloyds Bank Foundation for England and Wales,9
Esmée Fairbairn Foundation,Trust for London,8
Esmée Fairbairn Foundation,Co-operative Group,8
Esmée Fairbairn Foundation,City Bridge Trust,5
Esmée Fairbairn Foundation,Joseph Rowntree Charitable Trust,5
Esmée Fairbairn Foundation,Barrow Cadbury Trust,3
Esmée Fairbairn Foundation,The Dulverton Trust,3
Esmée Fairbairn Foundation,Samworth Foundation,3
Esmée Fairbairn Foundation,The Blagrave Trust,2
Esmée Fairbairn Foundation,The David & Elaine Potter Foundation,2
Esmée Fairbairn Foundation,Pears Foundation,2
Esmée Fairbairn Foundation,Comic Relief,2
Esmée Fairbairn Foundation,Corra Foundation,2
Esmée Fairbairn Foundation,Sussex Community Foundation,1
Esmée Fairbairn Foundation,Tuixen Foundation,1
Esmée Fairbairn Foundation,Indigo Trust,1
Esmée Fairbairn Foundation,A B Charitable Trust,1
Esmée Fairbairn Foundation,Tedworth Charitable Trust,1
Esmée Fairbairn Foundation,True Colours Trust,1
Esmée Fairbairn Foundation,London Councils,1
Esmée Fairbairn Foundation,Masonic Charitable Foundation,1
Esmée Fairbairn Foundation,Two Ridings Community Foundation,1
Esmée Fairbairn Foundation,The Robertson Trust,1
Esmée Fairbairn Foundation,Quartet Community Foundation,1
Esmée Fairbairn Foundation,The Clothworkers Foundation,1
Esmée Fairbairn Foundation,Community Foundation serving Tyne & Wear and Northumberland,1
Esmée Fairbairn Foundation,The Henry Smith Charity,1
Essex Community Foundation,The Big Lottery Fund,18
Essex Community Foundation,Co-operative Group,13
Essex Community Foundation,Garfield Weston Foundation,11
Essex Community Foundation,Quartet Community Foundation,6
Essex Community Foundation,Two Ridings Community Foundation,2
Essex Community Foundation,The Dulverton Trust,2
Essex Community Foundation,Somerset Community Foundation,2
Essex Community Foundation,Lloyds Bank Foundation for England and Wales,2
Essex Community Foundation,The Clothworkers Foundation,2
Essex Community Foundation,Woodward Charitable Trust,2
Essex Community Foundation,Heart Of England Community Foundation,1
Essex Community Foundation,A B Charitable Trust,1
Essex Community Foundation,Wiltshire Community Foundation,1
Essex Community Foundation,Community Foundation for Surrey,1
Essex Community Foundation,Joseph Rowntree Foundation,1
Essex Community Foundation,True Colours Trust,1
Essex Community Foundation,Oxfordshire Community Foundation,1
Garfield Weston Foundation,The Big Lottery Fund,206
Garfield Weston Foundation,Co-operative Group,204
Garfield Weston Foundation,The Clothworkers Foundation,39
Garfield Weston Foundation,Lloyds Bank Foundation for England and Wales,32
Garfield Weston Foundation,The Tudor Trust,28
Garfield Weston Foundation,The Robertson Trust,21
Garfield Weston Foundation,Esmée Fairbairn Foundation,19
Garfield Weston Foundation,City Bridge Trust,17
Garfield Weston Foundation,The Dulverton Trust,17
Garfield Weston Foundation,Woodward Charitable Trust,15
Garfield Weston Foundation,Corra Foundation,14
Garfield Weston Foundation,Quartet Community Foundation,14
Garfield Weston Foundation,National Churches Trust,13
Garfield Weston Foundation,The Joseph Rank Trust,13
Garfield Weston Foundation,Community Foundation serving Tyne & Wear and Northumberland,12
Garfield Weston Foundation,Cheshire Community Foundation,11
Garfield Weston Foundation,Essex Community Foundation,11
Garfield Weston Foundation,Heart Of England Community Foundation,10
Garfield Weston Foundation,A B Charitable Trust,10
Garfield Weston Foundation,The Henry Smith Charity,9
Garfield Weston Foundation,Somerset Community Foundation,5
Garfield Weston Foundation,The Dunhill Medical Trust,5
Garfield Weston Foundation,Devon Community Foundation,5
Garfield Weston Foundation,R S Macdonald Charitable Trust,5
Garfield Weston Foundation,Two Ridings Community Foundation,5
Garfield Weston Foundation,Tuixen Foundation,5
Garfield Weston Foundation,True Colours Trust,4
Garfield Weston Foundation,Sport England,4
Garfield Weston Foundation,Community Foundation for Surrey,4
Garfield Weston Foundation,Sussex Community Foundation,4
Garfield Weston Foundation,Seafarers UK,4
Garfield Weston Foundation,Oxfordshire Community Foundation,3
Garfield Weston Foundation,Pears Foundation,3
Garfield Weston Foundation,Greater London Authority,3
Garfield Weston Foundation,Oxford City Council,2
Garfield Weston Foundation,Virgin Money Foundation,2
Garfield Weston Foundation,Comic Relief,2
Garfield Weston Foundation,Tedworth Charitable Trust,2
Garfield Weston Foundation,Staples Trust,2
Garfield Weston Foundation,Trust for London,2
Garfield Weston Foundation,Masonic Charitable Foundation,2
Garfield Weston Foundation,London Borough of Barnet,1
Garfield Weston Foundation,Scottish Council For Voluntary Organisations,1
Garfield Weston Foundation,Indigo Trust,1
Garfield Weston Foundation,Birmingham City Council,1
Garfield Weston Foundation,Three Guineas Trust,1
Garfield Weston Foundation,John Moores Foundation,1
Garfield Weston Foundation,Joseph Rowntree Foundation,1
Garfield Weston Foundation,ARCADIA,1
Garfield Weston Foundation,Road Safety Trust,1
Garfield Weston Foundation,Culham St Gabriel's Trust,1
Gatsby Charitable Foundation,Nesta,1
Gatsby Charitable Foundation,Indigo Trust,1
Gatsby Charitable Foundation,True Colours Trust,1
Gatsby Charitable Foundation,Staples Trust,1
Gatsby Charitable Foundation,Tedworth Charitable Trust,1
Gatsby Charitable Foundation,Woodward Charitable Trust,1
Glasgow City Council,The Big Lottery Fund,3
Glasgow City Council,The Robertson Trust,3
Glasgow City Council,Scottish Council For Voluntary Organisations,2
Glasgow City Council,Corra Foundation,1
Glasgow City Council,The Tudor Trust,1
Greater London Authority,The Big Lottery Fund,11
Greater London Authority,Garfield Weston Foundation,3
Greater London Authority,United St Saviour's Charity,3
Greater London Authority,City Bridge Trust,2
Greater London Authority,Lloyds Bank Foundation for England and Wales,1
Greater London Authority,Sport England,1
Greater London Authority,Quartet Community Foundation,1
Greater London Authority,London Councils,1
Greater London Authority,The Tudor Trust,1
Greater London Authority,ARCADIA,1
Greater London Authority,The Blagrave Trust,1
Greater London Authority,Co-operative Group,1
Greater London Authority,Trust for London,1
Greater London Authority,Nesta,1
Greater London Authority,Cheshire Community Foundation,1
Greater London Authority,The Henry Smith Charity,1
Heart Of England Community Foundation,The Big Lottery Fund,55
Heart Of England Community Foundation,Co-operative Group,16
Heart Of England Community Foundation,Garfield Weston Foundation,10
Heart Of England Community Foundation,Sport England,10
Heart Of England Community Foundation,The Clothworkers Foundation,5
Heart Of England Community Foundation,Lloyds Bank Foundation for England and Wales,4
Heart Of England Community Foundation,Birmingham City Council,4
Heart Of England Community Foundation,Somerset Community Foundation,3
Heart Of England Community Foundation,Woodward Charitable Trust,3
Heart Of England Community Foundation,The Tudor Trust,3
Heart Of England Community Foundation,Community Foundation serving Tyne & Wear and Northumberland,1
Heart Of England Community Foundation,True Colours Trust,1
Heart Of England Community Foundation,Essex Community Foundation,1
Heart Of England Community Foundation,Masonic Charitable Foundation,1
Heart Of England Community Foundation,The Dulverton Trust,1
Heart Of England Community Foundation,Community Foundation for Surrey,1
Heart Of England Community Foundation,Trust for London,1
Heart Of England Community Foundation,Quartet Community Foundation,1
Heart Of England Community Foundation,Sussex Community Foundation,1
Heart Of England Community Foundation,Comic Relief,1
Heart Of England Community Foundation,National Churches Trust,1
Indigo Trust,The Big Lottery Fund,2
Indigo Trust,Lloyds Bank Foundation for England and Wales,1
Indigo Trust,A B Charitable Trust,1
Indigo Trust,True Colours Trust,1
Indigo Trust,Co-operative Group,1
Indigo Trust,Garfield Weston Foundation,1
Indigo Trust,Esmée Fairbairn Foundation,1
Indigo Trust,Gatsby Charitable Foundation,1
Indigo Trust,Staples Trust,1
Indigo Trust,Tedworth Charitable Trust,1
Indigo Trust,Woodward Charitable Trust,1
Indigo Trust,City Bridge Trust,1
John Moores Foundation,The Big Lottery Fund,11
John Moores Foundation,Co-operative Group,6
John Moores Foundation,Sport England,2
John Moores Foundation,The Henry Smith Charity,2
John Moores Foundation,Lloyds Bank Foundation for England and Wales,1
John Moores Foundation,The Tudor Trust,1
John Moores Foundation,The Clothworkers Foundation,1
John Moores Foundation,Garfield Weston Foundation,1
John Moores Foundation,Community Foundation for Surrey,1
John Moores Foundation,The Joseph Rank Trust,1
Joseph Rowntree Charitable Trust,The Big Lottery Fund,8
Joseph Rowntree Charitable Trust,Esmée Fairbairn Foundation,5
Joseph Rowntree Charitable Trust,The Tudor Trust,5
Joseph Rowntree Charitable Trust,Trust for London,4
Joseph Rowntree Charitable Trust,A B Charitable Trust,3
Joseph Rowntree Charitable Trust,Lloyds Bank Foundation for England and Wales,3
Joseph Rowntree Charitable Trust,City Bridge Trust,2
Joseph Rowntree Charitable Trust,Tedworth Charitable Trust,2
Joseph Rowntree Charitable Trust,Nationwide Foundation,1
Joseph Rowntree Charitable Trust,The David & Elaine Potter Foundation,1
Joseph Rowntree Charitable Trust,Quartet Community Foundation,1
Joseph Rowntree Charitable Trust,Barrow Cadbury Trust,1
Joseph Rowntree Foundation,The Big Lottery Fund,5
Joseph Rowntree Foundation,Two Ridings Community Foundation,3
Joseph Rowntree Foundation,Lloyds Bank Foundation for England and Wales,2
Joseph Rowntree Foundation,Co-operative Group,2
Joseph Rowntree Foundation,The Clothworkers Foundation,1
Joseph Rowntree Foundation,Essex Community Foundation,1
Joseph Rowntree Foundation,Garfield Weston Foundation,1
Joseph Rowntree Foundation,Masonic Charitable Foundation,1
Joseph Rowntree Foundation,Somerset Community Foundation,1
Joseph Rowntree Foundation,The Dunhill Medical Trust,1
Lankelly Chase Foundation,Barrow Cadbury Trust,2
Lankelly Chase Foundation,Co-operative Group,1
Lankelly Chase Foundation,The Big Lottery Fund,1
Lankelly Chase Foundation,Sport England,1
Lankelly Chase Foundation,The Tudor Trust,1
Lankelly Chase Foundation,Sussex Community Foundation,1
Lankelly Chase Foundation,Somerset Community Foundation,1
Lloyds Bank Foundation for England and Wales,The Big Lottery Fund,91
Lloyds Bank Foundation for England and Wales,Co-operative Group,51
Lloyds Bank Foundation for England and Wales,Garfield Weston Foundation,32
Lloyds Bank Foundation for England and Wales,The Tudor Trust,19
Lloyds Bank Foundation for England and Wales,A B Charitable Trust,12
Lloyds Bank Foundation for England and Wales,Esmée Fairbairn Foundation,9
Lloyds Bank Foundation for England and Wales,Woodward Charitable Trust,9
Lloyds Bank Foundation for England and Wales,The Clothworkers Foundation,8
Lloyds Bank Foundation for England and Wales,City Bridge Trust,7
Lloyds Bank Foundation for England and Wales,Heart Of England Community Foundation,4
Lloyds Bank Foundation for England and Wales,Trust for London,4
Lloyds Bank Foundation for England and Wales,Cheshire Community Foundation,3
Lloyds Bank Foundation for England and Wales,Masonic Charitable Foundation,3
Lloyds Bank Foundation for England and Wales,Joseph Rowntree Charitable Trust,3
Lloyds Bank Foundation for England and Wales,The Henry Smith Charity,3
Lloyds Bank Foundation for England and Wales,Quartet Community Foundation,3
Lloyds Bank Foundation for England and Wales,Virgin Money Foundation,2
Lloyds Bank Foundation for England and Wales,Joseph Rowntree Foundation,2
Lloyds Bank Foundation for England and Wales,Oxford City Council,2
Lloyds Bank Foundation for England and Wales,Essex Community Foundation,2
Lloyds Bank Foundation for England and Wales,London Councils,2
Lloyds Bank Foundation for England and Wales,Somerset Community Foundation,2
Lloyds Bank Foundation for England and Wales,Indigo Trust,1
Lloyds Bank Foundation for England and Wales,Devon Community Foundation,1
Lloyds Bank Foundation for England and Wales,Three Guineas Trust,1
Lloyds Bank Foundation for England and Wales,John Moores Foundation,1
Lloyds Bank Foundation for England and Wales,Community Foundation serving Tyne & Wear and Northumberland,1
Lloyds Bank Foundation for England and Wales,Barrow Cadbury Trust,1
Lloyds Bank Foundation for England and Wales,Two Ridings Community Foundation,1
Lloyds Bank Foundation for England and Wales,Community Foundation for Surrey,1
Lloyds Bank Foundation for England and Wales,Greater London Authority,1
Lloyds Bank Foundation for England and Wales,The Dunhill Medical Trust,1
Lloyds Bank Foundation for England and Wales,Sussex Community Foundation,1
London Borough of Barnet,The Big Lottery Fund,4
London Borough of Barnet,Co-operative Group,3
London Borough of Barnet,City Bridge Trust,2
London Borough of Barnet,Garfield Weston Foundation,1
London Councils,Trust for London,3
London Councils,Lloyds Bank Foundation for England and Wales,2
London Councils,Quartet Community Foundation,2
London Councils,The Big Lottery Fund,1
London Councils,City Bridge Trust,1
London Councils,The Clothworkers Foundation,1
London Councils,Comic Relief,1
London Councils,Esmée Fairbairn Foundation,1
London Councils,Greater London Authority,1
London Councils,Barrow Cadbury Trust,1
Macc,Co-operative Group,1
Macc,The Big Lottery Fund,1
Macc,Sport England,1
Macc,The Henry Smith Charity,1
Masonic Charitable Foundation,Co-operative Group,9
Masonic Charitable Foundation,Lloyds Bank Foundation for England and Wales,3
Masonic Charitable Foundation,The Big Lottery Fund,3
Masonic Charitable Foundation,Garfield Weston Foundation,2
Masonic Charitable Foundation,The Tudor Trust,2
Masonic Charitable Foundation,Two Ridings Community Foundation,1
Masonic Charitable Foundation,Trust for London,1
Masonic Charitable Foundation,Three Guineas Trust,1
Masonic Charitable Foundation,Woodward Charitable Trust,1
Masonic Charitable Foundation,Heart Of England Community Foundation,1
Masonic Charitable Foundation,A B Charitable Trust,1
Masonic Charitable Foundation,Esmée Fairbairn Foundation,1
Masonic Charitable Foundation,Seafarers UK,1
Masonic Charitable Foundation,Quartet Community Foundation,1
Masonic Charitable Foundation,The Clothworkers Foundation,1
Masonic Charitable Foundation,Joseph Rowntree Foundation,1
Masonic Charitable Foundation,The Henry Smith Charity,1
Ministry of Justice,The Big Lottery Fund,2
National Churches Trust,Garfield Weston Foundation,13
National Churches Trust,Co-operative Group,4
National Churches Trust,The Joseph Rank Trust,2
National Churches Trust,The Big Lottery Fund,2
National Churches Trust,Heart Of England Community Foundation,1
National Churches Trust,City Bridge Trust,1
Nationwide Foundation,Trust for London,1
Nationwide Foundation,Joseph Rowntree Charitable Trust,1
Nationwide Foundation,The Tudor Trust,1
Nesta,Walcot Foundation,2
Nesta,Sport England,2
Nesta,Tuixen Foundation,1
Nesta,Oxfordshire Community Foundation,1
Nesta,Pears Foundation,1
Nesta,Co-operative Group,1
Nesta,The Big Lottery Fund,1
Nesta,Barrow Cadbury Trust,1
Nesta,Gatsby Charitable Foundation,1
Nesta,Greater London Authority,1
Nesta,The Tudor Trust,1
Oxford City Council,Oxfordshire Community Foundation,7
Oxford City Council,The Big Lottery Fund,4
Oxford City Council,Lloyds Bank Foundation for England and Wales,2
