Funder from,Funder to,grants
Oxford City Council,Garfield Weston Foundation,2
Oxford City Council,The Joseph Rank Trust,1
Oxford City Council,Quartet Community Foundation,1
Oxford City Council,Staples Trust,1
Oxford City Council,A B Charitable Trust,1
Oxford City Council,The Tudor Trust,1
Oxfordshire Community Foundation,The Big Lottery Fund,10
Oxfordshire Community Foundation,Oxford City Council,7
Oxfordshire Community Foundation,Co-operative Group,4
Oxfordshire Community Foundation,Quartet Community Foundation,3
Oxfordshire Community Foundation,Garfield Weston Foundation,3
Oxfordshire Community Foundation,Sport England,2
Oxfordshire Community Foundation,Nesta,1
Oxfordshire Community Foundation,Essex Community Foundation,1
Oxfordshire Community Foundation,Woodward Charitable Trust,1
Oxfordshire Community Foundation,Two Ridings Community Foundation,1
Pears Foundation,Garfield Weston Foundation,3
Pears Foundation,The Big Lottery Fund,2
Pears Foundation,Co-operative Group,2
Pears Foundation,Esmée Fairbairn Foundation,2
Pears Foundation,The Tudor Trust,2
Pears Foundation,Nesta,1
Pears Foundation,The Dulverton Trust,1
Pears Foundation,Tuixen Foundation,1
Pears Foundation,Three Guineas Trust,1
Pears Foundation,City Bridge Trust,1
Pears Foundation,True Colours Trust,1
Quartet Community Foundation,Co-operative Group,53
Quartet Community Foundation,The Big Lottery Fund,27
Quartet Community Foundation,Garfield Weston Foundation,14
Quartet Community Foundation,Essex Community Foundation,6
Quartet Community Foundation,Somerset Community Foundation,5
Quartet Community Foundation,The Tudor Trust,4
Quartet Community Foundation,City Bridge Trust,3
Quartet Community Foundation,Oxfordshire Community Foundation,3
Quartet Community Foundation,Woodward Charitable Trust,3
Quartet Community Foundation,Lloyds Bank Foundation for England and Wales,3
Quartet Community Foundation,Cheshire Community Foundation,2
Quartet Community Foundation,The Clothworkers Foundation,2
Quartet Community Foundation,Sport England,2
Quartet Community Foundation,London Councils,2
Quartet Community Foundation,Heart Of England Community Foundation,1
Quartet Community Foundation,Road Safety Trust,1
Quartet Community Foundation,Greater London Authority,1
Quartet Community Foundation,Oxford City Council,1
Quartet Community Foundation,True Colours Trust,1
Quartet Community Foundation,Joseph Rowntree Charitable Trust,1
Quartet Community Foundation,Two Ridings Community Foundation,1
Quartet Community Foundation,Wiltshire Community Foundation,1
Quartet Community Foundation,Esmée Fairbairn Foundation,1
Quartet Community Foundation,Devon Community Foundation,1
Quartet Community Foundation,Masonic Charitable Foundation,1
Quartet Community Foundation,The Henry Smith Charity,1
R S Macdonald Charitable Trust,The Robertson Trust,14
R S Macdonald Charitable Trust,Corra Foundation,13
R S Macdonald Charitable Trust,Co-operative Group,10
R S Macdonald Charitable Trust,The Big Lottery Fund,6
R S Macdonald Charitable Trust,Garfield Weston Foundation,5
R S Macdonald Charitable Trust,Woodward Charitable Trust,1
R S Macdonald Charitable Trust,Scottish Council For Voluntary Organisations,1
R S Macdonald Charitable Trust,The Clothworkers Foundation,1
Road Safety Trust,The Big Lottery Fund,2
Road Safety Trust,Garfield Weston Foundation,1
Road Safety Trust,Co-operative Group,1
Road Safety Trust,Quartet Community Foundation,1
Samworth Foundation,Esmée Fairbairn Foundation,3
Samworth Foundation,The Big Lottery Fund,2
Samworth Foundation,Barrow Cadbury Trust,1
Scottish Council For Voluntary Organisations,The Big Lottery Fund,10
Scottish Council For Voluntary Organisations,The Robertson Trust,10
Scottish Council For Voluntary Organisations,Co-operative Group,9
Scottish Council For Voluntary Organisations,Corra Foundation,9
Scottish Council For Voluntary Organisations,Glasgow City Council,2
Scottish Council For Voluntary Organisations,A B Charitable Trust,1
Scottish Council For Voluntary Organisations,The Clothworkers Foundation,1
Scottish Council For Voluntary Organisations,The Henry Smith Charity,1
Scottish Council For Voluntary Organisations,R S Macdonald Charitable Trust,1
Scottish Council For Voluntary Organisations,Garfield Weston Foundation,1
Seafarers UK,The Big Lottery Fund,7
Seafarers UK,Co-operative Group,5
Seafarers UK,Garfield Weston Foundation,4
Seafarers UK,Corra Foundation,2
Seafarers UK,Masonic Charitable Foundation,1
Seafarers UK,City Bridge Trust,1
Seafarers UK,Devon Community Foundation,1
Somerset Community Foundation,Co-operative Group,17
Somerset Community Foundation,The Big Lottery Fund,12
Somerset Community Foundation,Quartet Community Foundation,5
Somerset Community Foundation,Garfield Weston Foundation,5
Somerset Community Foundation,Heart Of England Community Foundation,3
Somerset Community Foundation,Lloyds Bank Foundation for England and Wales,2
Somerset Community Foundation,Essex Community Foundation,2
Somerset Community Foundation,The Tudor Trust,2
Somerset Community Foundation,Sport England,2
Somerset Community Foundation,Lankelly Chase Foundation,1
Somerset Community Foundation,Devon Community Foundation,1
Somerset Community Foundation,Two Ridings Community Foundation,1
Somerset Community Foundation,Birmingham City Council,1
Somerset Community Foundation,City Bridge Trust,1
Somerset Community Foundation,Joseph Rowntree Foundation,1
Sport England,The Big Lottery Fund,33
Sport England,Co-operative Group,19
Sport England,Heart Of England Community Foundation,10
Sport England,Comic Relief,4
Sport England,Garfield Weston Foundation,4
Sport England,Nesta,2
Sport England,John Moores Foundation,2
Sport England,Quartet Community Foundation,2
Sport England,The Tudor Trust,2
Sport England,Oxfordshire Community Foundation,2
Sport England,Somerset Community Foundation,2
Sport England,Greater London Authority,1
Sport England,Devon Community Foundation,1
Sport England,Two Ridings Community Foundation,1
Sport England,Birmingham City Council,1
Sport England,Woodward Charitable Trust,1
Sport England,United St Saviour's Charity,1
Sport England,Sussex Community Foundation,1
Sport England,The Clothworkers Foundation,1
Sport England,Lankelly Chase Foundation,1
Sport England,Macc,1
Staples Trust,Tedworth Charitable Trust,4
Staples Trust,Garfield Weston Foundation,2
Staples Trust,Woodward Charitable Trust,2
Staples Trust,Oxford City Council,1
Staples Trust,True Colours Trust,1
Staples Trust,Tuixen Foundation,1
Staples Trust,The Big Lottery Fund,1
Staples Trust,Indigo Trust,1
Staples Trust,Gatsby Charitable Foundation,1
Sussex Community Foundation,The Big Lottery Fund,29
Sussex Community Foundation,Co-operative Group,18
Sussex Community Foundation,Garfield Weston Foundation,4
Sussex Community Foundation,Community Foundation for Surrey,2
Sussex Community Foundation,Lloyds Bank Foundation for England and Wales,1
Sussex Community Foundation,Heart Of England Community Foundation,1
Sussex Community Foundation,Lankelly Chase Foundation,1
Sussex Community Foundation,Esmée Fairbairn Foundation,1
Sussex Community Foundation,Two Ridings Community Foundation,1
Sussex Community Foundation,The Tudor Trust,1
Sussex Community Foundation,The Dulverton Trust,1
Sussex Community Foundation,The Blagrave Trust,1
Sussex Community Foundation,Sport England,1
Sussex Community Foundation,The Henry Smith Charity,1
Tedworth Charitable Trust,Staples Trust,4
Tedworth Charitable Trust,Woodward Charitable Trust,3
Tedworth Charitable Trust,The Big Lottery Fund,2
Tedworth Charitable Trust,Joseph Rowntree Charitable Trust,2
Tedworth Charitable Trust,Garfield Weston Foundation,2
Tedworth Charitable Trust,Barrow Cadbury Trust,1
Tedworth Charitable Trust,The Tudor Trust,1
Tedworth Charitable Trust,True Colours Trust,1
Tedworth Charitable Trust,Co-operative Group,1
Tedworth Charitable Trust,Gatsby Charitable Foundation,1
Tedworth Charitable Trust,Indigo Trust,1
Tedworth Charitable Trust,Esmée Fairbairn Foundation,1
The Big Lottery Fund,Co-operative Group,500
The Big Lottery Fund,Garfield Weston Foundation,206
The Big Lottery Fund,Lloyds Bank Foundation for England and Wales,91
The Big Lottery Fund,The Tudor Trust,77
The Big Lottery Fund,The Robertson Trust,67
The Big Lottery Fund,Heart Of England Community Foundation,55
The Big Lottery Fund,The Clothworkers Foundation,46
The Big Lottery Fund,Corra Foundation,38
The Big Lottery Fund,City Bridge Trust,36
The Big Lottery Fund,Woodward Charitable Trust,34
The Big Lottery Fund,Esmée Fairbairn Foundation,34
The Big Lottery Fund,Sport England,33
The Big Lottery Fund,Sussex Community Foundation,29
The Big Lottery Fund,Quartet Community Foundation,27
The Big Lottery Fund,The Henry Smith Charity,26
The Big Lottery Fund,Community Foundation serving Tyne & Wear and Northumberland,21
The Big Lottery Fund,Trust for London,19
The Big Lottery Fund,Essex Community Foundation,18
The Big Lottery Fund,A B Charitable Trust,16
The Big Lottery Fund,Community Foundation for Surrey,16
The Big Lottery Fund,Cheshire Community Foundation,14
The Big Lottery Fund,Two Ridings Community Foundation,14
The Big Lottery Fund,Devon Community Foundation,13
The Big Lottery Fund,Somerset Community Foundation,12
The Big Lottery Fund,Greater London Authority,11
The Big Lottery Fund,John Moores Foundation,11
The Big Lottery Fund,Oxfordshire Community Foundation,10
The Big Lottery Fund,Scottish Council For Voluntary Organisations,10
The Big Lottery Fund,Joseph Rowntree Charitable Trust,8
The Big Lottery Fund,Virgin Money Foundation,8
The Big Lottery Fund,True Colours Trust,7
The Big Lottery Fund,The Joseph Rank Trust,7
The Big Lottery Fund,Seafarers UK,7
The Big Lottery Fund,The Dulverton Trust,6
The Big Lottery Fund,R S Macdonald Charitable Trust,6
The Big Lottery Fund,Comic Relief,6
The Big Lottery Fund,Joseph Rowntree Foundation,5
The Big Lottery Fund,United St Saviour's Charity,5
The Big Lottery Fund,Tuixen Foundation,4
The Big Lottery Fund,The Dunhill Medical Trust,4
The Big Lottery Fund,Oxford City Council,4
The Big Lottery Fund,London Borough of Barnet,4
The Big Lottery Fund,Trafford Housing Trust Social Investment,3
The Big Lottery Fund,Wiltshire Community Foundation,3
The Big Lottery Fund,Three Guineas Trust,3
The Big Lottery Fund,Glasgow City Council,3
The Big Lottery Fund,Masonic Charitable Foundation,3
The Big Lottery Fund,Barrow Cadbury Trust,3
The Big Lottery Fund,The Blagrave Trust,3
The Big Lottery Fund,Walcot Foundation,2
The Big Lottery Fund,Samworth Foundation,2
The Big Lottery Fund,Pears Foundation,2
The Big Lottery Fund,Ministry of Justice,2
The Big Lottery Fund,Indigo Trust,2
The Big Lottery Fund,National Churches Trust,2
The Big Lottery Fund,Tedworth Charitable Trust,2
The Big Lottery Fund,Birmingham City Council,2
The Big Lottery Fund,Road Safety Trust,2
The Big Lottery Fund,Macc,1
The Big Lottery Fund,Culham St Gabriel's Trust,1
The Big Lottery Fund,London Councils,1
The Big Lottery Fund,The David & Elaine Potter Foundation,1
The Big Lottery Fund,Lankelly Chase Foundation,1
The Big Lottery Fund,Nesta,1
The Big Lottery Fund,Staples Trust,1
The Blagrave Trust,The Big Lottery Fund,3
The Blagrave Trust,Esmée Fairbairn Foundation,2
The Blagrave Trust,The Dulverton Trust,1
The Blagrave Trust,Trust for London,1
The Blagrave Trust,Community Foundation for Surrey,1
The Blagrave Trust,Sussex Community Foundation,1
The Blagrave Trust,Wiltshire Community Foundation,1
The Blagrave Trust,Greater London Authority,1
The Blagrave Trust,Cheshire Community Foundation,1
The Blagrave Trust,The Tudor Trust,1
The Clothworkers Foundation,The Big Lottery Fund,46
The Clothworkers Foundation,Garfield Weston Foundation,39
The Clothworkers Foundation,Co-operative Group,32
The Clothworkers Foundation,Lloyds Bank Foundation for England and Wales,8
The Clothworkers Foundation,The Robertson Trust,6
The Clothworkers Foundation,Heart Of England Community Foundation,5
The Clothworkers Foundation,The Tudor Trust,5
The Clothworkers Foundation,Corra Foundation,4
The Clothworkers Foundation,Trust for London,4
The Clothworkers Foundation,City Bridge Trust,4
The Clothworkers Foundation,The Dulverton Trust,4
The Clothworkers Foundation,A B Charitable Trust,3
The Clothworkers Foundation,The Dunhill Medical Trust,3
The Clothworkers Foundation,The Henry Smith Charity,3
The Clothworkers Foundation,Two Ridings Community Foundation,3
The Clothworkers Foundation,Community Foundation serving Tyne & Wear and Northumberland,2
The Clothworkers Foundation,Community Foundation for Surrey,2
The Clothworkers Foundation,Comic Relief,2
The Clothworkers Foundation,Essex Community Foundation,2
The Clothworkers Foundation,Quartet Community Foundation,2
The Clothworkers Foundation,Three Guineas Trust,1
The Clothworkers Foundation,Cheshire Community Foundation,1
The Clothworkers Foundation,Sport England,1
The Clothworkers Foundation,Joseph Rowntree Foundation,1
The Clothworkers Foundation,Tuixen Foundation,1
The Clothworkers Foundation,Masonic Charitable Foundation,1
The Clothworkers Foundation,Scottish Council For Voluntary Organisations,1
The Clothworkers Foundation,Devon Community Foundation,1
The Clothworkers Foundation,Esmée Fairbairn Foundation,1
The Clothworkers Foundation,London Councils,1
The Clothworkers Foundation,Trafford Metropolitan Borough Council,1
The Clothworkers Foundation,Trafford Housing Trust Social Investment,1
The Clothworkers Foundation,R S Macdonald Charitable Trust,1
The Clothworkers Foundation,John Moores Foundation,1
The Clothworkers Foundation,Woodward Charitable Trust,1
The David & Elaine Potter Foundation,Esmée Fairbairn Foundation,2
The David & Elaine Potter Foundation,The Big Lottery Fund,1
The David & Elaine Potter Foundation,The Dulverton Trust,1
The David & Elaine Potter Foundation,Tuixen Foundation,1
The David & Elaine Potter Foundation,City Bridge Trust,1
The David & Elaine Potter Foundation,Joseph Rowntree Charitable Trust,1
The Dulverton Trust,Garfield Weston Foundation,17
The Dulverton Trust,The Big Lottery Fund,6
The Dulverton Trust,The Tudor Trust,4
The Dulverton Trust,The Clothworkers Foundation,4
The Dulverton Trust,The Robertson Trust,4
The Dulverton Trust,Esmée Fairbairn Foundation,3
The Dulverton Trust,Co-operative Group,3
The Dulverton Trust,Essex Community Foundation,2
The Dulverton Trust,Tuixen Foundation,2
The Dulverton Trust,Culham St Gabriel's Trust,1
The Dulverton Trust,Cheshire Community Foundation,1
The Dulverton Trust,The Blagrave Trust,1
The Dulverton Trust,Heart Of England Community Foundation,1
The Dulverton Trust,The David & Elaine Potter Foundation,1
The Dulverton Trust,Sussex Community Foundation,1
The Dulverton Trust,Trust for London,1
The Dulverton Trust,Pears Foundation,1
The Dulverton Trust,The Joseph Rank Trust,1
The Dunhill Medical Trust,Co-operative Group,5
The Dunhill Medical Trust,Garfield Weston Foundation,5
The Dunhill Medical Trust,The Big Lottery Fund,4
The Dunhill Medical Trust,The Clothworkers Foundation,3
The Dunhill Medical Trust,City Bridge Trust,2
The Dunhill Medical Trust,Lloyds Bank Foundation for England and Wales,1
The Dunhill Medical Trust,Joseph Rowntree Foundation,1
The Henry Smith Charity,The Big Lottery Fund,26
The Henry Smith Charity,Co-operative Group,12
The Henry Smith Charity,Garfield Weston Foundation,9
The Henry Smith Charity,Lloyds Bank Foundation for England and Wales,3
The Henry Smith Charity,The Tudor Trust,3
The Henry Smith Charity,The Clothworkers Foundation,3
The Henry Smith Charity,Community Foundation serving Tyne & Wear and Northumberland,3
The Henry Smith Charity,City Bridge Trust,3
The Henry Smith Charity,John Moores Foundation,2
The Henry Smith Charity,Greater London Authority,1
The Henry Smith Charity,Scottish Council For Voluntary Organisations,1
The Henry Smith Charity,Woodward Charitable Trust,1
The Henry Smith Charity,The Robertson Trust,1
The Henry Smith Charity,United St Saviour's Charity,1
The Henry Smith Charity,A B Charitable Trust,1
The Henry Smith Charity,Masonic Charitable Foundation,1
The Henry Smith Charity,Esmée Fairbairn Foundation,1
The Henry Smith Charity,Corra Foundation,1
The Henry Smith Charity,Quartet Community Foundation,1
The Henry Smith Charity,Sussex Community Foundation,1
The Henry Smith Charity,Macc,1
The Joseph Rank Trust,Garfield Weston Foundation,13
The Joseph Rank Trust,The Big Lottery Fund,7
The Joseph Rank Trust,Co-operative Group,6
The Joseph Rank Trust,National Churches Trust,2
The Joseph Rank Trust,The Dulverton Trust,1
The Joseph Rank Trust,Oxford City Council,1
The Joseph Rank Trust,John Moores Foundation,1
The Joseph Rank Trust,Corra Foundation,1
The Joseph Rank Trust,Woodward Charitable Trust,1
The Joseph Rank Trust,The Robertson Trust,1
The Robertson Trust,The Big Lottery Fund,67
The Robertson Trust,Co-operative Group,59
The Robertson Trust,Corra Foundation,49
The Robertson Trust,Garfield Weston Foundation,21
The Robertson Trust,R S Macdonald Charitable Trust,14
The Robertson Trust,Scottish Council For Voluntary Organisations,10
The Robertson Trust,The Tudor Trust,9
The Robertson Trust,The Clothworkers Foundation,6
The Robertson Trust,The Dulverton Trust,4
The Robertson Trust,Glasgow City Council,3
The Robertson Trust,A B Charitable Trust,2
The Robertson Trust,The Joseph Rank Trust,1
The Robertson Trust,True Colours Trust,1
The Robertson Trust,Esmée Fairbairn Foundation,1
The Robertson Trust,The Henry Smith Charity,1
The Tudor Trust,The Big Lottery Fund,77
The Tudor Trust,Co-operative Group,41
The Tudor Trust,Garfield Weston Foundation,28
The Tudor Trust,Lloyds Bank Foundation for England and Wales,19
The Tudor Trust,Esmée Fairbairn Foundation,12
The Tudor Trust,City Bridge Trust,11
The Tudor Trust,The Robertson Trust,9
The Tudor Trust,Trust for London,6
The Tudor Trust,Woodward Charitable Trust,5
The Tudor Trust,The Clothworkers Foundation,5
The Tudor Trust,Joseph Rowntree Charitable Trust,5
The Tudor Trust,Quartet Community Foundation,4
The Tudor Trust,The Dulverton Trust,4
The Tudor Trust,A B Charitable Trust,4
The Tudor Trust,Heart Of England Community Foundation,3
The Tudor Trust,Community Foundation serving Tyne & Wear and Northumberland,3
The Tudor Trust,The Henry Smith Charity,3
The Tudor Trust,Somerset Community Foundation,2
The Tudor Trust,Barrow Cadbury Trust,2
The Tudor Trust,Pears Foundation,2
The Tudor Trust,Comic Relief,2
The Tudor Trust,Corra Foundation,2
The Tudor Trust,Sport England,2
The Tudor Trust,Masonic Charitable Foundation,2
The Tudor Trust,Nesta,1
The Tudor Trust,Cheshire Community Foundation,1
The Tudor Trust,Tedworth Charitable Trust,1
The Tudor Trust,Glasgow City Council,1
The Tudor Trust,Oxford City Council,1
The Tudor Trust,Culham St Gabriel's Trust,1
The Tudor Trust,Greater London Authority,1
The Tudor Trust,The Blagrave Trust,1
The Tudor Trust,Nationwide Foundation,1
The Tudor Trust,Devon Community Foundation,1
The Tudor Trust,Virgin Money Foundation,1
The Tudor Trust,Sussex Community Foundation,1
The Tudor Trust,Lankelly Chase Foundation,1
The Tudor Trust,United St Saviour's Charity,1
The Tudor Trust,John Moores Foundation,1
Three Guineas Trust,Co-operative Group,3
Three Guineas Trust,The Big Lottery Fund,3
Three Guineas Trust,Lloyds Bank Foundation for England and Wales,1
Three Guineas Trust,A B Charitable Trust,1
Three Guineas Trust,True Colours Trust,1
Three Guineas Trust,Pears Foundation,1
Three Guineas Trust,The Clothworkers Foundation,1
Three Guineas Trust,Trust for London,1
Three Guineas Trust,Garfield Weston Foundation,1
Three Guineas Trust,Masonic Charitable Foundation,1
Three Guineas Trust,Community Foundation serving Tyne & Wear and Northumberland,1
Trafford Housing Trust Social Investment,Trafford Metropolitan Borough Council,7
Trafford Housing Trust Social Investment,The Big Lottery Fund,3
Trafford Housing Trust Social Investment,Co-operative Group,1
Trafford Housing Trust Social Investment,The Clothworkers Foundation,1
Trafford Metropolitan Borough Council,Trafford Housing Trust Social Investment,7
Trafford Metropolitan Borough Council,The Clothworkers Foundation,1
True Colours Trust,The Big Lottery Fund,7
True Colours Trust,Garfield Weston Foundation,4
True Colours Trust,Co-operative Group,3
True Colours Trust,Woodward Charitable Trust,2
True Colours Trust,Heart Of England Community Foundation,1
True Colours Trust,Pears Foundation,1
True Colours Trust,Staples Trust,1
True Colours Trust,Indigo Trust,1
True Colours Trust,Tuixen Foundation,1
True Colours Trust,Three Guineas Trust,1
True Colours Trust,Community Foundation for Surrey,1
True Colours Trust,The Robertson Trust,1
True Colours Trust,Community Foundation serving Tyne & Wear and Northumberland,1
True Colours Trust,Essex Community Foundation,1
True Colours Trust,Gatsby Charitable Foundation,1
True Colours Trust,Esmée Fairbairn Foundation,1
True Colours Trust,Quartet Community Foundation,1
True Colours Trust,Tedworth Charitable Trust,1
Trust for London,The Big Lottery Fund,19
Trust for London,Esmée Fairbairn Foundation,8
Trust for London,City Bridge Trust,7
Trust for London,A B Charitable Trust,6
Trust for London,The Tudor Trust,6
Trust for London,Lloyds Bank Foundation for England and Wales,4
Trust for London,Co-operative Group,4
Trust for London,The Clothworkers Foundation,4
Trust for London,Joseph Rowntree Charitable Trust,4
Trust for London,London Councils,3
Trust for London,Barrow Cadbury Trust,3
Trust for London,Garfield Weston Foundation,2
Trust for London,Walcot Foundation,2
Trust for London,Three Guineas Trust,1
Trust for London,The Dulverton Trust,1
Trust for London,Heart Of England Community Foundation,1
Trust for London,The Blagrave Trust,1
Trust for London,Nationwide Foundation,1
Trust for London,United St Saviour's Charity,1
Trust for London,Comic Relief,1
Trust for London,Greater London Authority,1
Trust for London,Masonic Charitable Foundation,1
Tuixen Foundation,Garfield Weston Foundation,5
Tuixen Foundation,The Big Lottery Fund,4
Tuixen Foundation,The Dulverton Trust,2
Tuixen Foundation,True Colours Trust,1
Tuixen Foundation,Pears Foundation,1
Tuixen Foundation,The Clothworkers Foundation,1
Tuixen Foundation,Esmée Fairbairn Foundation,1
Tuixen Foundation,A B Charitable Trust,1
Tuixen Foundation,Nesta,1
Tuixen Foundation,The David & Elaine Potter Foundation,1
Tuixen Foundation,City Bridge Trust,1
Tuixen Foundation,Co-operative Group,1
Tuixen Foundation,Staples Trust,1
Tuixen Foundation,ZING,1
Two Ridings Community Foundation,The Big Lottery Fund,14
Two Ridings Community Foundation,Co-operative Group,13
Two Ridings Community Foundation,Garfield Weston Foundation,5
Two Ridings Community Foundation,Joseph Rowntree Foundation,3
Two Ridings Community Foundation,The Clothworkers Foundation,3
Two Ridings Community Foundation,Essex Community Foundation,2
Two Ridings Community Foundation,Masonic Charitable Foundation,1
Two Ridings Community Foundation,Oxfordshire Community Foundation,1
Two Ridings Community Foundation,Quartet Community Foundation,1
Two Ridings Community Foundation,Esmée Fairbairn Foundation,1
Two Ridings Community Foundation,Sussex Community Foundation,1
Two Ridings Community Foundation,Somerset Community Foundation,1
Two Ridings Community Foundation,Community Foundation for Surrey,1
Two Ridings Community Foundation,Sport England,1
Two Ridings Community Foundation,Lloyds Bank Foundation for England and Wales,1
United St Saviour's Charity,The Big Lottery Fund,5
United St Saviour's Charity,Co-operative Group,3
United St Saviour's Charity,Greater London Authority,3
United St Saviour's Charity,City Bridge Trust,2
United St Saviour's Charity,A B Charitable Trust,1
United St Saviour's Charity,The Tudor Trust,1
United St Saviour's Charity,Sport England,1
United St Saviour's Charity,Trust for London,1
United St Saviour's Charity,Walcot Foundation,1
United St Saviour's Charity,The Henry Smith Charity,1
Virgin Money Foundation,The Big Lottery Fund,8
Virgin Money Foundation,Community Foundation serving Tyne & Wear and Northumberland,7
Virgin Money Foundation,Lloyds Bank Foundation for England and Wales,2
Virgin Money Foundation,Garfield Weston Foundation,2
Virgin Money Foundation,Woodward Charitable Trust,2
Virgin Money Foundation,Co-operative Group,1
Virgin Money Foundation,The Tudor Trust,1
Walcot Foundation,Trust for London,2
Walcot Foundation,Nesta,2
Walcot Foundation,Co-operative Group,2
Walcot Foundation,The Big Lottery Fund,2
Walcot Foundation,United St Saviour's Charity,1
Wiltshire Community Foundation,Co-operative Group,6
Wiltshire Community Foundation,The Big Lottery Fund,3
Wiltshire Community Foundation,The Blagrave Trust,1
Wiltshire Community Foundation,Essex Community Foundation,1
Wiltshire Community Foundation,Quartet Community Foundation,1
Woodward Charitable Trust,The Big Lottery Fund,34
Woodward Charitable Trust,Co-operative Group,27
Woodward Charitable Trust,Garfield Weston Foundation,15
Woodward Charitable Trust,Lloyds Bank Foundation for England and Wales,9
Woodward Charitable Trust,The Tudor Trust,5
Woodward Charitable Trust,Heart Of England Community Foundation,3
Woodward Charitable Trust,Tedworth Charitable Trust,3
Woodward Charitable Trust,Quartet Community Foundation,3
Woodward Charitable Trust,Community Foundation serving Tyne & Wear and Northumberland,3
Woodward Charitable Trust,True Colours Trust,2
Woodward Charitable Trust,Essex Community Foundation,2
Woodward Charitable Trust,Staples Trust,2
Woodward Charitable Trust,Community Foundation for Surrey,2
Woodward Charitable Trust,Virgin Money Foundation,2
Woodward Charitable Trust,Oxfordshire Community Foundation,1
Woodward Charitable Trust,Sport England,1
Woodward Charitable Trust,The Joseph Rank Trust,1
Woodward Charitable Trust,City Bridge Trust,1
Woodward Charitable Trust,R S Macdonald Charitable Trust,1
Woodward Charitable Trust,Corra Foundation,1
Woodward Charitable Trust,A B Charitable Trust,1
Woodward Charitable Trust,The Clothworkers Foundation,1
Woodward Charitable Trust,Devon Community Foundation,1
Woodward Charitable Trust,Masonic Charitable Foundation,1
Woodward Charitable Trust,Indigo Trust,1
Woodward Charitable Trust,Gatsby Charitable Foundation,1
Woodward Charitable Trust,The Henry Smith Charity,1
ZING,Tuixen Foundation,1
