group,identifier,name,Grants,Amount Awarded
funders,360G-blf,The Big Lottery Fund,10430,444108751.0
funders,GB-CHC-1000147,A B Charitable Trust,78,1025500.0
funders,GB-CHC-1009195,Pears Foundation,45,8250619.0
funders,GB-CHC-1010656,Staples Trust,17,179500.0
funders,GB-CHC-1035628,City Bridge Trust,159,13453578.0
funders,GB-CHC-1045304,Heart Of England Community Foundation,612,1702469.2000000002
funders,GB-CHC-1052061,Essex Community Foundation,346,2121414.2199999997
funders,GB-CHC-1057923,Devon Community Foundation,186,944689.2300000001
funders,GB-CHC-1059652,Three Guineas Trust,26,867660.0
funders,GB-CHC-1065552,Nationwide Foundation,2,434512.65
funders,GB-CHC-1075920,Indigo Trust,36,978036.13
funders,GB-CHC-1078217,The David & Elaine Potter Foundation,32,1122498.0
funders,GB-CHC-1080418,Quartet Community Foundation,890,3054111.5999999996
funders,GB-CHC-1081124,Tuixen Foundation,32,961699.0
funders,GB-CHC-1089893,True Colours Trust,54,1699615.5
funders,GB-CHC-1093028,Coop Foundation,24,825000.0
funders,GB-CHC-1093844,The Joseph Rank Trust,89,2526000.0
funders,GB-CHC-1103731,United St Saviour's Charity,54,734612.34
funders,GB-CHC-1105580,The Tudor Trust,374,18976873.439999998
funders,GB-CHC-1107583,Lankelly Chase Foundation,35,3403041.92
funders,GB-CHC-1111600,Community Foundation for Surrey,366,1209475.88
funders,GB-CHC-1113226,Sussex Community Foundation,272,1126106.1400000001
funders,GB-CHC-1115476,Barrow Cadbury Trust,102,4473644.0
funders,GB-CHC-1119845,National Churches Trust,220,1470775.0
funders,GB-CHC-1123126,Wiltshire Community Foundation,20,255415.45
funders,GB-CHC-1140372,The Dunhill Medical Trust,21,866252.0
funders,GB-CHC-1143711,Cheshire Community Foundation,131,736455.7600000001
funders,GB-CHC-1144091,Nesta,121,8138643.0
funders,GB-CHC-1145921,Macc,12,17491.34
funders,GB-CHC-1151621,Oxfordshire Community Foundation,187,1000281.96
funders,GB-CHC-1156300,Road Safety Trust,28,1706673.0
funders,GB-CHC-1160316,Guy's and St Thomas' Charity,87,9347649.0
funders,GB-CHC-1161290,Virgin Money Foundation,31,2215998.0
funders,GB-CHC-1164021,The Blagrave Trust,14,1113000.0
funders,GB-CHC-1164703,Masonic Charitable Foundation,70,265400.0
funders,GB-CHC-1166471,Two Ridings Community Foundation,196,655402.5800000001
funders,GB-CHC-200051,Esmée Fairbairn Foundation,273,40947453.010000005
funders,GB-CHC-205629,Trust for London,129,7600595.0
funders,GB-CHC-205959,Cloudesley,96,1217066.0
funders,GB-CHC-210037,Joseph Rowntree Charitable Trust,96,6861972.0
funders,GB-CHC-210169,Joseph Rowntree Foundation,30,141841.99
funders,GB-CHC-226446,Seafarers UK,80,3735174.55
funders,GB-CHC-230102,The Henry Smith Charity,100,5010150.0
funders,GB-CHC-230260,Garfield Weston Foundation,1493,43193495.519999996
funders,GB-CHC-251988,Gatsby Charitable Foundation,15,12209742.04
funders,GB-CHC-253481,John Moores Foundation,41,175162.0
funders,GB-CHC-274100,The Clothworkers Foundation,233,4199450.0
funders,GB-CHC-299963,Woodward Charitable Trust,211,225851.65
funders,GB-CHC-309671,Culham St Gabriel's Trust,5,73300.0
funders,GB-CHC-312800,Walcot Foundation,101,2394249.5
funders,GB-CHC-326568 ,Comic Relief,121,29906263.0
funders,GB-CHC-327114,Lloyds Bank Foundation for England and Wales,335,16793561.38
funders,GB-CHC-328524,Tedworth Charitable Trust,20,236800.0
funders,GB-COH-02273708,Community Foundation serving Tyne & Wear and Northumberland,1531,7393573.57
funders,GB-COH-03037449,London Councils,13,24692528.0
funders,GB-COH-04530979,Somerset Community Foundation,269,508618.63
funders,GB-COH-04831118,Trafford Housing Trust Social Investment,90,264981.10000000003
funders,GB-COH-07991677,The Dulverton Trust,84,3514261.0
funders,GB-COH-IP00525R,Co-operative Group,7934,19884570.00000003
funders,GB-COH-RC000766,Sport England,1407,244146305.0
funders,GB-LAE-BIR,Birmingham City Council,67,890124.5299999999
funders,GB-LAE-BNE,London Borough of Barnet,41,148703.5
funders,GB-LAE-GLA,Greater London Authority,74,23116399.52
funders,GB-LAE-OXO,Oxford City Council,42,945559.0
funders,GB-LAS-GLG,Glasgow City Council,38,650750.0
funders,GB-SC-SC002970,The Robertson Trust,490,16145750.0
funders,GB-SC-SC003558,Scottish Council For Voluntary Organisations,67,439187.68
funders,GB-SC-SC009481,Corra Foundation,231,1952817.0
funders,GB-SC-SC012710,R S Macdonald Charitable Trust,100,2725234.0
recipients,GB-CHC-1002721,Epsom & Ewell Foodbank / Generation,5,24888.1
recipients,GB-CHC-1004354,Upper Room (St Saviour's with St Mary's),3,143285.79
recipients,GB-CHC-1006504,Alabare Christian Care Centres,3,523888.17
recipients,GB-CHC-1008128,DEMAND (Design & Manufacture for Disability),4,29452.34
recipients,GB-CHC-1010397,Women's Environmental Network,3,324516.0
recipients,GB-CHC-1011056,SignHealth,3,667926.0
recipients,GB-CHC-1011495,YMCA North Tyneside,4,61750.0
recipients,GB-CHC-1011957,Blind in Business,4,39444.59
recipients,GB-CHC-1012889,The Maya Centre,3,103550.0
recipients,GB-CHC-1016968,YoungMinds,3,445000.0
recipients,GB-CHC-1017560,Clean Break,3,30304.0
recipients,GB-CHC-1017706,Groundwork North East and Cumbria,5,888973.62
recipients,GB-CHC-1025852,Headway Coventry & Warwickshire,6,11047.220000000001
recipients,GB-CHC-1026160,Wiltshire Music Centre,3,39931.82
recipients,GB-CHC-1027205,Latin American Disabled People's Project,3,57400.0
recipients,GB-CHC-1034170,Tynedale Hospice at Home,4,26018.5
recipients,GB-CHC-1035820,St Michael's Fellowship,4,309057.0
recipients,GB-CHC-1035924,Hayle Surf Life Saving Club,4,22733.54
recipients,GB-CHC-1036667,Bellingham Community Project,4,213593.62
recipients,GB-CHC-1040572,Surrey SATRO,6,69000.0
recipients,GB-CHC-1041257,Leeds Jewish Welfare Board (LJWB),3,14396.02
recipients,GB-CHC-1041653,The Bromley By Bow Centre,3,194100.0
recipients,GB-CHC-1041855,Grit,3,45060.0
recipients,GB-CHC-1045064,Making Communities Work & Grow,3,22961.28
recipients,GB-CHC-1046650,Inquest Charitable Trust,3,614481.0
recipients,GB-CHC-1047075,Marches Family Network,3,24339.0
recipients,GB-CHC-1048266,Hardwick in Partnership Limited,3,8109.98
recipients,GB-CHC-1051260,Redthread Youth Limited,3,495300.0
recipients,GB-CHC-1051292,Bolton Lads' & Girls' Club,3,167686.0
recipients,GB-CHC-1051388,The Amber Foundation,3,14620.0
recipients,GB-CHC-1051979,Advice4Renters,3,170190.0
recipients,GB-CHC-1052687,Devon Link Up,3,24500.0
recipients,GB-CHC-1054154,Womens Aid Federation of England,4,1739587.0
recipients,GB-CHC-1054783,Young Asian Voices,3,12070.970000000001
recipients,GB-CHC-1054890,Safe and Sound Homes,8,90097.28
recipients,GB-CHC-1055254,New Economics Foundation,4,261539.65
recipients,GB-CHC-1055914,Parasol Project,3,26200.0
recipients,GB-CHC-1056043,Black Training and Enterprise Group - BTEG,3,281480.0
recipients,GB-CHC-1056441,SWEDA,4,36034.78
recipients,GB-CHC-1059029,Richard House Children's Hospice,3,52818.0
recipients,GB-CHC-1059144,GAZ,3,15745.81
recipients,GB-CHC-1060002,Opening Doors,3,123324.0
recipients,GB-CHC-1060714,The Challenging Behaviour Foundation,3,235000.0
recipients,GB-CHC-1061182,Legal Advice Centre (University House),3,157100.0
recipients,GB-CHC-1062493,SOS Domestic Abuse Projects,4,500916.45
recipients,GB-CHC-1062887,Barefoot,4,62867.07
recipients,GB-CHC-1063643,Yellow Door Youth Hub,4,19197.23
recipients,GB-CHC-1064046,Carmarthen Domestic Abuse Services Limited,4,210729.18
recipients,GB-CHC-1064270,West Lancashire Crisis and Information Centre,3,134910.0
recipients,GB-CHC-1065066,Detention Action,3,187500.0
recipients,GB-CHC-1065770,Redbridge Concern for Mental Health (merged with Daffodil Advocacy Project),4,297210.0
recipients,GB-CHC-1065963,Paintings in Hospitals,3,124500.0
recipients,GB-CHC-1066911,Involve Kent,4,510898.7
recipients,GB-CHC-1069535,CHIPS,3,11559.97
recipients,GB-CHC-1069637,Southside Family Project,3,108840.0
recipients,GB-CHC-1069765,Southend-On-Sea Blind Welfare Organisation,5,28920.0
recipients,GB-CHC-1070578,YMCA Newcastle,6,69137.0
recipients,GB-CHC-1071418,C.H.A.N.C.E.,3,11372.0
recipients,GB-CHC-1072111,London Gypsy and Traveller Unit,3,199241.0
recipients,GB-CHC-1072376,Leap Confronting Conflict,4,358845.0
recipients,GB-CHC-1072841,Enfield Citizens Advice Bureau Service,3,79542.13
recipients,GB-CHC-1073247,My Life My Choice,3,15250.0
recipients,GB-CHC-1075447,4SIGHT (West Sussex Association for the Blind),4,37930.17999999999
recipients,GB-CHC-1076055,Normandy Community Therapy Garden,4,16696.0
recipients,GB-CHC-1076204,Lambeth Law Centre,5,211500.0
recipients,GB-CHC-1076206,Kainos Community,3,37678.35
recipients,GB-CHC-1076217,Autism Berkshire – the working name of Berks Autistic Society,3,22023.489999999998
recipients,GB-CHC-1076478,"TAMBA, Twins & Multiple Births Association",5,37500.0
recipients,GB-CHC-1076710,InterActive Whitby and District,3,14411.04
recipients,GB-CHC-1077034,Bilston Resource Centre,3,90000.0
recipients,GB-CHC-1077116,Migrants Organise Ltd,4,243000.0
recipients,GB-CHC-1077265,Tuesday Venture Club,4,1300.0
recipients,GB-CHC-1078094,AMAZE,5,221263.98
recipients,GB-CHC-1079495,Ark T,4,19220.0
recipients,GB-CHC-1079944,Greatham Sports Field Association,3,16810.690000000002
recipients,GB-CHC-1081754,Youthscape,3,94749.0
recipients,GB-CHC-1082450,Solace Women's Aid,8,6185811.0
recipients,GB-CHC-1082551,Tamar View Community Complex Ltd,3,68690.45
recipients,GB-CHC-1083995,Ellesmere Port & Neston Live at Home Scheme,5,495623.07
recipients,GB-CHC-1084105,Bullion Community Resource Centre,3,72955.03
recipients,GB-CHC-1084622,Gap Project,3,22476.75
recipients,GB-CHC-1085351,Off the Record (Bristol),4,69063.26
recipients,GB-CHC-1085545,NewLink Wales,4,135914.0
recipients,GB-CHC-1086780,East Cleveland Youth Housing Trust,3,13799.21
recipients,GB-CHC-1088242,The Estuary League of Friends,5,228420.71
recipients,GB-CHC-1089634,Trelya,3,131560.0
recipients,GB-CHC-1090123,Coventry Refugee and Migrant Centre,3,54934.0
recipients,GB-CHC-1090161,Age UK Cheshire East,3,26050.0
recipients,GB-CHC-1090781,Personal Support Unit,4,107396.12
recipients,GB-CHC-1091001,Copenhagen Youth Project,3,60605.93
recipients,GB-CHC-1091077,The 999 Club and Lady Florence Trust,3,298840.0
recipients,GB-CHC-1091201,Pembrokeshire People First,3,230952.0
recipients,GB-CHC-1091887,Ascension Community Trust,3,96900.0
recipients,GB-CHC-1092465,Faith and Belief Forum,4,152000.0
recipients,GB-CHC-1093239,SkyWay Charity,3,29501.65
recipients,GB-CHC-1093355,Mainstay,3,23716.0
recipients,GB-CHC-1093691,Merlin MS Centre,4,151835.73
recipients,GB-CHC-1093908,Avenue House Estate Trust,3,10707.02
recipients,GB-CHC-1094599,Open Door Exmouth,3,16258.0
recipients,GB-CHC-1095540,Leicester Rape Crisis Limited,3,256580.0
recipients,GB-CHC-1095915,The Vine Centre,4,23447.289999999997
recipients,GB-CHC-1096454,The Sainsbury Archive,6,135500.0
recipients,GB-CHC-1096964,Haven,3,321202.6
recipients,GB-CHC-1097475,Ashford Place,3,183159.38
recipients,GB-CHC-1097886,Kent Refugee Action Network,3,267900.0
recipients,GB-CHC-1097910,Pegswood Community Hub Ltd,6,19472.8
recipients,GB-CHC-1098237,Witham Boys' & Girls' Association,3,8705.17
recipients,GB-CHC-1099682,RefuAid - under the auspices of Prism the Gift Fund,3,56500.0
recipients,GB-CHC-1100358,Narthex Sparkhill,3,11359.85
recipients,GB-CHC-1100405,Bridge Community Education Centre,4,17196.52
recipients,GB-CHC-1100420,Wellspring Therapy and Training,3,56503.05
recipients,GB-CHC-1100671,The High Street Centre Ltd,3,26532.97
recipients,GB-CHC-1100722,Autism Bedfordshire,3,52240.61
recipients,GB-CHC-1101086,Warrington Youth Club,3,18367.09
recipients,GB-CHC-1101208,Storybook Dads,3,365000.0
recipients,GB-CHC-1101799,Youth Focus: North East,4,540429.0
recipients,GB-CHC-1101976,Hull and East Yorkshire Mind,4,128715.92
recipients,GB-CHC-1102055,Harbour Cancer Support Centre,3,17251.760000000002
recipients,GB-CHC-1102257,Disability Advice West Lancs,5,16195.23
recipients,GB-CHC-1102267,The Stephen Lawrence Charitable Trust,3,71209.64
recipients,GB-CHC-1103271,The A690 Youth Initiative,6,85311.0
recipients,GB-CHC-1103599,Lyme Arts Community Trust,4,31545.219999999998
recipients,GB-CHC-1104392,Citizens Advice Service in Three Rivers,3,33309.75
recipients,GB-CHC-1104429,Knowle West Health Association,4,71096.03
recipients,GB-CHC-1104631,The Mustard Tree Foundation,3,115000.0
recipients,GB-CHC-1104731,London Play,3,119895.0
recipients,GB-CHC-1104779,Refugee and Migrant Centre,4,628384.0
recipients,GB-CHC-1104960,Home-Start Sutton,3,81687.79
recipients,GB-CHC-1105403,Walworth Golden Oldies Community Care Project,3,18510.0
recipients,GB-CHC-1105412,Association of Charitable Foundations,3,309600.0
recipients,GB-CHC-1105759,Koestler Trust,3,56000.0
recipients,GB-CHC-1106223,Phoenix Detached Youth Project,6,452286.0
recipients,GB-CHC-1106747,Carers Careline,3,169024.94
recipients,GB-CHC-1107264,Citizens UK,6,763820.0
recipients,GB-CHC-1107413,Home-Start Southwark,3,412053.33
recipients,GB-CHC-1107670,The House on the Corner Community Project,3,14000.0
recipients,GB-CHC-1108113,Students and Refugees Together (START),3,84800.0
recipients,GB-CHC-1108162,Mosses Community Association Limited,3,119945.0
recipients,GB-CHC-1108210,Sheila McKechnie Foundation,4,283990.0
recipients,GB-CHC-1108855,Home-Start East Sussex,3,24096.09
recipients,GB-CHC-1109976,"Citizens Advice, Mid Bedfordshire",3,9087.44
recipients,GB-CHC-1110841,Zacchaeus 2000 Trust,3,115000.0
recipients,GB-CHC-1110853,Citizens Advice Bureau: Rossendale & Hyndburn,4,625088.0
recipients,GB-CHC-1110986,Tre Cwm Community Association Ltd,4,289978.48
recipients,GB-CHC-1111035,Project John Limited,4,131826.45
recipients,GB-CHC-1111581,Moving On Durham,3,34910.35
recipients,GB-CHC-1111713,HAFS,4,27497.11
recipients,GB-CHC-1112095,FAD,3,110000.0
recipients,GB-CHC-1112326,"Friends, Families and Travellers",4,107649.0
recipients,GB-CHC-1113125,St Joseph's Hospice Hackney,4,181189.61
recipients,GB-CHC-1113330,Disabled Sailing Association,4,41905.47
recipients,GB-CHC-1113379,Folkestone Youth Project/The Shed,3,19996.67
recipients,GB-CHC-1114148,Kiran Support Services,3,597687.0
recipients,GB-CHC-1114558,Blackpool Carers' Centre,3,560903.93
recipients,GB-CHC-1115222,Sport 4 Life UK,3,443000.0
recipients,GB-CHC-1115595,Ability Bow ,3,114746.06
recipients,GB-CHC-1116381,Ups and Downs Southwest,3,15779.25
recipients,GB-CHC-1116957,Newcastle and Gateshead Arts Studio Ltd,6,102628.9
recipients,GB-CHC-1117141,The Derbyshire Federation for Mental Health,4,92817.21
recipients,GB-CHC-1117244,ShareAction,3,685000.0
recipients,GB-CHC-1118360,People and Drugs Ltd (Silx Teen Bar),9,40815.91
recipients,GB-CHC-1118525,IntoUniversity,3,180000.0
recipients,GB-CHC-1118727,Women In Prison,5,488000.0
recipients,GB-CHC-1119136,Havelock Family Centre,3,180000.0
recipients,GB-CHC-1119798,Southampton Women's Aid,3,24835.25
recipients,GB-CHC-1120120,Upper Teesdale Agricultural Support Services Ltd,3,22024.96
recipients,GB-CHC-1120156,The Bereavement Counselling Service,3,15568.619999999999
recipients,GB-CHC-1120322,Omega Care for Life,3,129000.0
recipients,GB-CHC-1120562,Khulisa,3,118500.0
recipients,GB-CHC-1120694,Charnwood 20:20 (t/a TwentyTwenty),3,71600.0
recipients,GB-CHC-1120857,The Hextol Foundation,3,102500.0
recipients,GB-CHC-1121347,CCBC,4,398506.0
recipients,GB-CHC-1121605,Health and Local Food for Families,3,125107.0
recipients,GB-CHC-1121801,"Alnwick Young People's Association, Gallery Youth",4,301366.36
recipients,GB-CHC-1122405,St Albans Community Association,3,44996.0
recipients,GB-CHC-1122532,Cathays and Central Youth and Community Project,4,27109.71
recipients,GB-CHC-1122852,A Band of Brothers,4,183450.0
recipients,GB-CHC-1123017,Reading Community Learning Centre Ltd,3,24348.12
recipients,GB-CHC-1123615,Merthyr and the Valleys Mind,3,86058.99
recipients,GB-CHC-1124328,Gatwick Detainees Welfare Group,3,90000.0
recipients,GB-CHC-1124492,Carefree Cornwall,3,245000.0
recipients,GB-CHC-1125477,Thurrock Open Door,3,503645.0
recipients,GB-CHC-1125695,Heel and Toe Childrens Charity,10,44377.36
recipients,GB-CHC-1125808,Caritas Diocese of Salford,3,425786.94
recipients,GB-CHC-1126646,Bristol Refugee Rights,3,93304.54000000001
recipients,GB-CHC-1126682,Somerset and Avon Rape and Sexual Abuse Support (SARSAS),4,172020.0
recipients,GB-CHC-1126806,The Reader Organisation,4,1437183.0
recipients,GB-CHC-1127772,The Skinners' Almshouse Charity,3,58003.0
recipients,GB-CHC-1128330,INTACT,3,22360.08
recipients,GB-CHC-1128529,Dame Kelly Holmes Trust,3,162958.0
recipients,GB-CHC-1128731,Wimbleball Sailability,3,13180.33
recipients,GB-CHC-1128924,Llanhilleth Miners Institute Ltd,3,50000.0
recipients,GB-CHC-1128932,Home-Start Runnymede and Woking,4,14405.18
recipients,GB-CHC-1129521,Oasis Project,4,58140.06
recipients,GB-CHC-1129973,Age Concern Morgannwg,3,66012.58
recipients,GB-CHC-1130826,Moorvision,4,24789.269999999997
recipients,GB-CHC-1130994,Down Syndrome Training and Support Service Limited,3,21557.57
recipients,GB-CHC-1131118,Briardale Community Centre,3,12668.99
recipients,GB-CHC-1131301,St Paul with Emmanuel Parish Church,3,374109.0
recipients,GB-CHC-1131306,Oasis Cardiff,6,149135.82
recipients,GB-CHC-1131408,Emmaus North East (formerly Emmaus Gateshead),4,14913.81
recipients,GB-CHC-1131792,OPAL (Older People's Action in the Local Community),4,27145.11
recipients,GB-CHC-1131802,Working Chance,3,232000.0
recipients,GB-CHC-1131817,Women & Families Resource Centre,5,32768.64
